Report Date,Health District,Age Group Type,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
11/28/2023,Arlington,Case Age Group,80+ Years,1569,365,191
11/28/2023,Arlington,Case Age Group,Missing,10,0,0
11/28/2023,Fairfax,Case Age Group,0-9  Years,28332,113,1
11/28/2023,Fairfax,Case Age Group,10-19 Years,33007,75,1
11/28/2023,Fairfax,Case Age Group,20-29  Years,44696,215,8
11/28/2023,Fairfax,Case Age Group,30-39 Years,46049,400,23
11/28/2023,Fairfax,Case Age Group,40-49 Years,42572,614,48
11/28/2023,Fairfax,Case Age Group,50-59 Years,37310,874,137
11/28/2023,Fairfax,Case Age Group,60-69 Years,25575,1009,232
11/28/2023,Fairfax,Case Age Group,70-79  Years,13537,930,378
11/28/2023,Fairfax,Case Age Group,80+ Years,9652,1304,972
11/28/2023,Fairfax,Case Age Group,Missing,26,0,0
11/28/2023,Loudoun,Case Age Group,0-9  Years,11731,66,0
11/28/2023,Loudoun,Case Age Group,10-19 Years,14634,25,2
11/28/2023,Loudoun,Case Age Group,20-29  Years,13897,70,3
11/28/2023,Loudoun,Case Age Group,30-39 Years,16288,155,3
11/28/2023,Loudoun,Case Age Group,40-49 Years,17687,256,13
11/28/2023,Loudoun,Case Age Group,50-59 Years,14971,335,30
11/28/2023,Loudoun,Case Age Group,60-69 Years,7686,325,46
11/28/2023,Loudoun,Case Age Group,70-79  Years,3797,398,100
11/28/2023,Loudoun,Case Age Group,80+ Years,2471,499,255
11/28/2023,Loudoun,Case Age Group,Missing,62,0,0
11/28/2023,Prince William,Case Age Group,0-9  Years,15573,220,0
11/28/2023,Prince William,Case Age Group,10-19 Years,18580,185,0
11/28/2023,Prince William,Case Age Group,20-29  Years,25365,365,10
11/28/2023,Prince William,Case Age Group,30-39 Years,25616,514,26
11/28/2023,Prince William,Case Age Group,40-49 Years,24312,619,46
11/28/2023,Prince William,Case Age Group,50-59 Years,21219,749,107
11/28/2023,Prince William,Case Age Group,60-69 Years,12098,597,196
11/28/2023,Prince William,Case Age Group,70-79  Years,5688,488,231
11/28/2023,Prince William,Case Age Group,80+ Years,2999,364,336
11/28/2023,Prince William,Case Age Group,Missing,187,0,0
11/27/2023,Alexandria,Case Age Group,0-9  Years,5279,17,0
11/27/2023,Alexandria,Case Age Group,10-19 Years,3699,18,0
11/27/2023,Alexandria,Case Age Group,20-29  Years,8447,42,2
11/27/2023,Alexandria,Case Age Group,30-39 Years,11024,102,3
11/27/2023,Alexandria,Case Age Group,40-49 Years,7250,122,13
11/27/2023,Alexandria,Case Age Group,50-59 Years,5285,148,24
11/27/2023,Alexandria,Case Age Group,60-69 Years,3282,157,38
11/27/2023,Alexandria,Case Age Group,70-79  Years,1763,130,59
11/27/2023,Alexandria,Case Age Group,80+ Years,1108,112,95
11/27/2023,Alexandria,Case Age Group,Missing,6,0,0
11/27/2023,Arlington,Case Age Group,0-9  Years,6786,29,1
11/27/2023,Arlington,Case Age Group,10-19 Years,6415,17,0
11/27/2023,Arlington,Case Age Group,20-29  Years,16796,51,0
11/27/2023,Arlington,Case Age Group,30-39 Years,13673,100,2
11/27/2023,Arlington,Case Age Group,40-49 Years,9863,133,18
11/27/2023,Arlington,Case Age Group,50-59 Years,7062,192,26
11/27/2023,Arlington,Case Age Group,60-69 Years,4255,229,48
11/27/2023,Arlington,Case Age Group,70-79  Years,2514,285,85
11/27/2023,Arlington,Case Age Group,80+ Years,1568,365,191
11/27/2023,Arlington,Case Age Group,Missing,10,0,0
11/27/2023,Fairfax,Case Age Group,0-9  Years,28312,113,1
11/27/2023,Fairfax,Case Age Group,10-19 Years,33004,75,1
11/27/2023,Fairfax,Case Age Group,20-29  Years,44683,215,8
11/27/2023,Fairfax,Case Age Group,30-39 Years,46046,400,23
11/27/2023,Fairfax,Case Age Group,40-49 Years,42571,614,48
11/27/2023,Fairfax,Case Age Group,50-59 Years,37307,874,138
11/27/2023,Fairfax,Case Age Group,60-69 Years,25564,1009,232
11/27/2023,Fairfax,Case Age Group,70-79  Years,13533,930,378
11/27/2023,Fairfax,Case Age Group,80+ Years,9644,1304,971
11/27/2023,Fairfax,Case Age Group,Missing,26,0,0
11/27/2023,Loudoun,Case Age Group,0-9  Years,11724,66,0
11/27/2023,Loudoun,Case Age Group,10-19 Years,14633,25,2
11/27/2023,Loudoun,Case Age Group,20-29  Years,13892,70,3
11/27/2023,Loudoun,Case Age Group,30-39 Years,16279,155,3
11/27/2023,Loudoun,Case Age Group,40-49 Years,17685,256,13
11/27/2023,Loudoun,Case Age Group,50-59 Years,14963,335,30
11/27/2023,Loudoun,Case Age Group,60-69 Years,7681,325,46
11/27/2023,Loudoun,Case Age Group,70-79  Years,3796,397,100
11/27/2023,Loudoun,Case Age Group,80+ Years,2473,499,255
11/27/2023,Loudoun,Case Age Group,Missing,62,0,0
11/27/2023,Prince William,Case Age Group,0-9  Years,15562,220,0
11/27/2023,Prince William,Case Age Group,10-19 Years,18576,185,0
11/27/2023,Prince William,Case Age Group,20-29  Years,25362,365,10
11/27/2023,Prince William,Case Age Group,30-39 Years,25607,514,26
11/27/2023,Prince William,Case Age Group,40-49 Years,24310,618,46
11/27/2023,Prince William,Case Age Group,50-59 Years,21211,749,107
11/27/2023,Prince William,Case Age Group,60-69 Years,12093,597,196
11/27/2023,Prince William,Case Age Group,70-79  Years,5684,488,231
11/27/2023,Prince William,Case Age Group,80+ Years,2993,364,336
11/27/2023,Prince William,Case Age Group,Missing,187,0,0
11/26/2023,Alexandria,Case Age Group,0-9  Years,5277,17,0
11/26/2023,Alexandria,Case Age Group,10-19 Years,3699,18,0
11/26/2023,Alexandria,Case Age Group,20-29  Years,8447,42,2
11/26/2023,Alexandria,Case Age Group,30-39 Years,11024,102,3
11/26/2023,Alexandria,Case Age Group,40-49 Years,7250,122,13
11/26/2023,Alexandria,Case Age Group,50-59 Years,5284,148,24
11/26/2023,Alexandria,Case Age Group,60-69 Years,3281,157,38
11/26/2023,Alexandria,Case Age Group,70-79  Years,1762,130,59
11/26/2023,Alexandria,Case Age Group,80+ Years,1108,112,95
11/26/2023,Alexandria,Case Age Group,Missing,6,0,0
11/26/2023,Arlington,Case Age Group,0-9  Years,6786,29,1
11/26/2023,Arlington,Case Age Group,10-19 Years,6415,17,0
11/26/2023,Arlington,Case Age Group,20-29  Years,16795,51,0
11/26/2023,Arlington,Case Age Group,30-39 Years,13671,100,2
11/26/2023,Arlington,Case Age Group,40-49 Years,9863,133,18
11/26/2023,Arlington,Case Age Group,50-59 Years,7061,192,26
11/26/2023,Arlington,Case Age Group,60-69 Years,4255,229,48
11/26/2023,Arlington,Case Age Group,70-79  Years,2514,285,85
11/26/2023,Arlington,Case Age Group,80+ Years,1567,365,191
11/26/2023,Arlington,Case Age Group,Missing,10,0,0
11/26/2023,Fairfax,Case Age Group,0-9  Years,28306,113,1
11/26/2023,Fairfax,Case Age Group,10-19 Years,33000,75,1
11/26/2023,Fairfax,Case Age Group,20-29  Years,44681,215,8
11/26/2023,Fairfax,Case Age Group,30-39 Years,46040,399,23
11/26/2023,Fairfax,Case Age Group,40-49 Years,42567,614,48
11/26/2023,Fairfax,Case Age Group,50-59 Years,37301,874,138
11/26/2023,Fairfax,Case Age Group,60-69 Years,25559,1008,232
11/26/2023,Fairfax,Case Age Group,70-79  Years,13528,930,378
11/26/2023,Fairfax,Case Age Group,80+ Years,9643,1304,971
11/26/2023,Fairfax,Case Age Group,Missing,26,0,0
11/26/2023,Loudoun,Case Age Group,0-9  Years,11722,66,0
11/26/2023,Loudoun,Case Age Group,10-19 Years,14632,25,2
11/26/2023,Loudoun,Case Age Group,20-29  Years,13891,70,3
11/26/2023,Loudoun,Case Age Group,30-39 Years,16274,155,3
11/26/2023,Loudoun,Case Age Group,40-49 Years,17681,256,13
11/26/2023,Loudoun,Case Age Group,50-59 Years,14957,335,30
11/26/2023,Loudoun,Case Age Group,60-69 Years,7679,325,46
11/26/2023,Loudoun,Case Age Group,70-79  Years,3794,397,100
11/26/2023,Loudoun,Case Age Group,80+ Years,2472,499,255
11/26/2023,Loudoun,Case Age Group,Missing,62,0,0
11/26/2023,Prince William,Case Age Group,0-9  Years,15560,220,0
11/26/2023,Prince William,Case Age Group,10-19 Years,18574,185,0
11/26/2023,Prince William,Case Age Group,20-29  Years,25360,365,10
11/26/2023,Prince William,Case Age Group,30-39 Years,25606,514,26
11/26/2023,Prince William,Case Age Group,40-49 Years,24308,618,46
11/26/2023,Prince William,Case Age Group,50-59 Years,21207,749,107
11/26/2023,Prince William,Case Age Group,60-69 Years,12089,597,196
11/26/2023,Prince William,Case Age Group,70-79  Years,5682,488,231
11/26/2023,Prince William,Case Age Group,80+ Years,2991,364,336
11/26/2023,Prince William,Case Age Group,Missing,187,0,0
11/25/2023,Alexandria,Case Age Group,0-9  Years,5275,17,0
11/25/2023,Alexandria,Case Age Group,10-19 Years,3699,18,0
11/25/2023,Alexandria,Case Age Group,20-29  Years,8447,42,2
11/25/2023,Alexandria,Case Age Group,30-39 Years,11022,102,3
11/25/2023,Alexandria,Case Age Group,40-49 Years,7250,122,13
11/25/2023,Alexandria,Case Age Group,50-59 Years,5281,148,24
11/25/2023,Alexandria,Case Age Group,60-69 Years,3282,157,38
11/25/2023,Alexandria,Case Age Group,70-79  Years,1761,129,59
11/25/2023,Alexandria,Case Age Group,80+ Years,1108,112,95
11/25/2023,Alexandria,Case Age Group,Missing,6,0,0
11/25/2023,Arlington,Case Age Group,0-9  Years,6786,29,1
11/25/2023,Arlington,Case Age Group,10-19 Years,6415,17,0
11/25/2023,Arlington,Case Age Group,20-29  Years,16793,51,0
11/25/2023,Arlington,Case Age Group,30-39 Years,13669,100,2
11/25/2023,Arlington,Case Age Group,40-49 Years,9863,133,18
11/25/2023,Arlington,Case Age Group,50-59 Years,7060,192,26
11/25/2023,Arlington,Case Age Group,60-69 Years,4255,229,48
11/25/2023,Arlington,Case Age Group,70-79  Years,2513,285,85
11/25/2023,Arlington,Case Age Group,80+ Years,1567,365,191
11/25/2023,Arlington,Case Age Group,Missing,10,0,0
11/25/2023,Fairfax,Case Age Group,0-9  Years,28299,113,1
11/25/2023,Fairfax,Case Age Group,10-19 Years,33000,75,1
11/25/2023,Fairfax,Case Age Group,20-29  Years,44671,215,8
11/25/2023,Fairfax,Case Age Group,30-39 Years,46038,399,23
11/25/2023,Fairfax,Case Age Group,40-49 Years,42557,614,48
11/25/2023,Fairfax,Case Age Group,50-59 Years,37295,874,138
11/25/2023,Fairfax,Case Age Group,60-69 Years,25557,1008,232
11/25/2023,Fairfax,Case Age Group,70-79  Years,13525,930,378
11/25/2023,Fairfax,Case Age Group,80+ Years,9635,1304,971
11/25/2023,Fairfax,Case Age Group,Missing,26,0,0
11/25/2023,Loudoun,Case Age Group,0-9  Years,11719,66,0
11/25/2023,Loudoun,Case Age Group,10-19 Years,14629,25,2
11/25/2023,Loudoun,Case Age Group,20-29  Years,13886,70,3
11/25/2023,Loudoun,Case Age Group,30-39 Years,16272,155,3
11/25/2023,Loudoun,Case Age Group,40-49 Years,17680,256,13
11/25/2023,Loudoun,Case Age Group,50-59 Years,14954,335,30
11/25/2023,Loudoun,Case Age Group,60-69 Years,7674,325,46
11/25/2023,Loudoun,Case Age Group,70-79  Years,3791,397,100
11/25/2023,Loudoun,Case Age Group,80+ Years,2471,499,255
11/25/2023,Loudoun,Case Age Group,Missing,62,0,0
11/25/2023,Prince William,Case Age Group,0-9  Years,15558,220,0
11/25/2023,Prince William,Case Age Group,10-19 Years,18570,185,0
11/25/2023,Prince William,Case Age Group,20-29  Years,25358,365,10
11/25/2023,Prince William,Case Age Group,30-39 Years,25601,514,26
11/25/2023,Prince William,Case Age Group,40-49 Years,24303,618,46
11/25/2023,Prince William,Case Age Group,50-59 Years,21203,749,107
11/25/2023,Prince William,Case Age Group,60-69 Years,12087,597,196
11/25/2023,Prince William,Case Age Group,70-79  Years,5681,488,231
11/25/2023,Prince William,Case Age Group,80+ Years,2986,364,336
11/25/2023,Prince William,Case Age Group,Missing,187,0,0
11/24/2023,Alexandria,Case Age Group,0-9  Years,5274,17,0
11/24/2023,Alexandria,Case Age Group,10-19 Years,3699,18,0
11/24/2023,Alexandria,Case Age Group,20-29  Years,8447,42,2
11/24/2023,Alexandria,Case Age Group,30-39 Years,11020,102,3
11/24/2023,Alexandria,Case Age Group,40-49 Years,7250,122,13
11/24/2023,Alexandria,Case Age Group,50-59 Years,5280,148,24
11/24/2023,Alexandria,Case Age Group,60-69 Years,3282,157,38
11/24/2023,Alexandria,Case Age Group,70-79  Years,1761,129,59
11/24/2023,Alexandria,Case Age Group,80+ Years,1108,112,95
11/24/2023,Alexandria,Case Age Group,Missing,6,0,0
11/24/2023,Arlington,Case Age Group,0-9  Years,6784,29,1
11/24/2023,Arlington,Case Age Group,10-19 Years,6417,17,0
11/24/2023,Arlington,Case Age Group,20-29  Years,16789,51,0
11/24/2023,Arlington,Case Age Group,30-39 Years,13670,100,2
11/24/2023,Arlington,Case Age Group,40-49 Years,9861,133,18
11/24/2023,Arlington,Case Age Group,50-59 Years,7061,192,26
11/24/2023,Arlington,Case Age Group,60-69 Years,4255,229,48
11/24/2023,Arlington,Case Age Group,70-79  Years,2512,285,85
11/24/2023,Arlington,Case Age Group,80+ Years,1565,365,191
11/24/2023,Arlington,Case Age Group,Missing,10,0,0
11/24/2023,Fairfax,Case Age Group,0-9  Years,28293,113,1
11/24/2023,Fairfax,Case Age Group,10-19 Years,32999,75,1
11/24/2023,Fairfax,Case Age Group,20-29  Years,44669,215,8
11/24/2023,Fairfax,Case Age Group,30-39 Years,46033,400,23
11/24/2023,Fairfax,Case Age Group,40-49 Years,42558,614,48
11/24/2023,Fairfax,Case Age Group,50-59 Years,37286,874,138
11/24/2023,Fairfax,Case Age Group,60-69 Years,25552,1008,232
11/24/2023,Fairfax,Case Age Group,70-79  Years,13517,930,378
11/24/2023,Fairfax,Case Age Group,80+ Years,9631,1303,971
11/24/2023,Fairfax,Case Age Group,Missing,26,0,0
11/24/2023,Loudoun,Case Age Group,0-9  Years,11715,66,0
11/24/2023,Loudoun,Case Age Group,10-19 Years,14627,25,2
11/24/2023,Loudoun,Case Age Group,20-29  Years,13882,70,3
11/24/2023,Loudoun,Case Age Group,30-39 Years,16270,155,3
11/24/2023,Loudoun,Case Age Group,40-49 Years,17679,256,13
11/24/2023,Loudoun,Case Age Group,50-59 Years,14947,335,30
11/24/2023,Loudoun,Case Age Group,60-69 Years,7671,325,46
11/24/2023,Loudoun,Case Age Group,70-79  Years,3788,397,100
11/24/2023,Loudoun,Case Age Group,80+ Years,2466,499,255
11/24/2023,Loudoun,Case Age Group,Missing,62,0,0
11/24/2023,Prince William,Case Age Group,0-9  Years,15554,220,0
11/24/2023,Prince William,Case Age Group,10-19 Years,18567,185,0
11/24/2023,Prince William,Case Age Group,20-29  Years,25357,365,10
11/24/2023,Prince William,Case Age Group,30-39 Years,25594,513,26
11/24/2023,Prince William,Case Age Group,40-49 Years,24305,618,46
11/24/2023,Prince William,Case Age Group,50-59 Years,21194,749,107
11/24/2023,Prince William,Case Age Group,60-69 Years,12079,597,196
11/24/2023,Prince William,Case Age Group,70-79  Years,5679,488,231
11/24/2023,Prince William,Case Age Group,80+ Years,2985,364,336
11/24/2023,Prince William,Case Age Group,Missing,187,0,0
11/23/2023,Alexandria,Case Age Group,0-9  Years,5274,17,0
11/23/2023,Alexandria,Case Age Group,10-19 Years,3699,18,0
11/23/2023,Alexandria,Case Age Group,20-29  Years,8446,42,2
11/23/2023,Alexandria,Case Age Group,30-39 Years,11018,102,3
11/23/2023,Alexandria,Case Age Group,40-49 Years,7248,122,13
11/23/2023,Alexandria,Case Age Group,50-59 Years,5281,148,24
11/23/2023,Alexandria,Case Age Group,60-69 Years,3283,157,38
11/23/2023,Alexandria,Case Age Group,70-79  Years,1761,129,59
11/23/2023,Alexandria,Case Age Group,80+ Years,1106,112,95
11/23/2023,Alexandria,Case Age Group,Missing,6,0,0
11/23/2023,Arlington,Case Age Group,0-9  Years,6781,29,1
11/23/2023,Arlington,Case Age Group,10-19 Years,6418,17,0
11/23/2023,Arlington,Case Age Group,20-29  Years,16789,51,0
11/23/2023,Arlington,Case Age Group,30-39 Years,13669,100,2
11/23/2023,Arlington,Case Age Group,40-49 Years,9861,133,18
11/23/2023,Arlington,Case Age Group,50-59 Years,7062,192,26
11/23/2023,Arlington,Case Age Group,60-69 Years,4254,229,48
11/23/2023,Arlington,Case Age Group,70-79  Years,2511,285,85
11/23/2023,Arlington,Case Age Group,80+ Years,1564,365,191
11/23/2023,Arlington,Case Age Group,Missing,10,0,0
11/23/2023,Fairfax,Case Age Group,0-9  Years,28286,113,1
11/23/2023,Fairfax,Case Age Group,10-19 Years,32998,75,1
11/23/2023,Fairfax,Case Age Group,20-29  Years,44666,215,8
11/23/2023,Fairfax,Case Age Group,30-39 Years,46027,399,23
11/23/2023,Fairfax,Case Age Group,40-49 Years,42558,614,48
11/23/2023,Fairfax,Case Age Group,50-59 Years,37277,874,138
11/23/2023,Fairfax,Case Age Group,60-69 Years,25548,1008,232
11/23/2023,Fairfax,Case Age Group,70-79  Years,13508,930,378
11/23/2023,Fairfax,Case Age Group,80+ Years,9630,1303,971
11/23/2023,Fairfax,Case Age Group,Missing,26,0,0
11/23/2023,Loudoun,Case Age Group,0-9  Years,11714,66,0
11/23/2023,Loudoun,Case Age Group,10-19 Years,14623,25,2
11/23/2023,Loudoun,Case Age Group,20-29  Years,13881,70,3
11/23/2023,Loudoun,Case Age Group,30-39 Years,16271,155,3
11/23/2023,Loudoun,Case Age Group,40-49 Years,17676,256,13
11/23/2023,Loudoun,Case Age Group,50-59 Years,14946,335,30
11/23/2023,Loudoun,Case Age Group,60-69 Years,7666,325,46
11/23/2023,Loudoun,Case Age Group,70-79  Years,3786,397,100
11/23/2023,Loudoun,Case Age Group,80+ Years,2466,499,255
11/23/2023,Loudoun,Case Age Group,Missing,62,0,0
11/23/2023,Prince William,Case Age Group,0-9  Years,15550,220,0
11/23/2023,Prince William,Case Age Group,10-19 Years,18564,185,0
11/23/2023,Prince William,Case Age Group,20-29  Years,25352,365,10
11/23/2023,Prince William,Case Age Group,30-39 Years,25594,513,26
11/23/2023,Prince William,Case Age Group,40-49 Years,24297,618,46
11/23/2023,Prince William,Case Age Group,50-59 Years,21185,749,107
11/23/2023,Prince William,Case Age Group,60-69 Years,12078,597,196
11/23/2023,Prince William,Case Age Group,70-79  Years,5672,488,231
11/23/2023,Prince William,Case Age Group,80+ Years,2978,364,336
11/23/2023,Prince William,Case Age Group,Missing,187,0,0
11/22/2023,Alexandria,Case Age Group,0-9  Years,5274,17,0
11/22/2023,Alexandria,Case Age Group,10-19 Years,3698,18,0
11/22/2023,Alexandria,Case Age Group,20-29  Years,8445,42,2
11/22/2023,Alexandria,Case Age Group,30-39 Years,11017,102,3
11/22/2023,Alexandria,Case Age Group,40-49 Years,7248,122,13
11/22/2023,Alexandria,Case Age Group,50-59 Years,5280,148,24
11/22/2023,Alexandria,Case Age Group,60-69 Years,3282,157,38
11/22/2023,Alexandria,Case Age Group,70-79  Years,1760,129,59
11/22/2023,Alexandria,Case Age Group,80+ Years,1104,112,95
11/22/2023,Alexandria,Case Age Group,Missing,6,0,0
11/22/2023,Arlington,Case Age Group,0-9  Years,6780,29,1
11/22/2023,Arlington,Case Age Group,10-19 Years,6416,17,0
11/22/2023,Arlington,Case Age Group,20-29  Years,16788,51,0
11/22/2023,Arlington,Case Age Group,30-39 Years,13669,100,2
11/22/2023,Arlington,Case Age Group,40-49 Years,9860,133,18
11/22/2023,Arlington,Case Age Group,50-59 Years,7062,192,26
11/22/2023,Arlington,Case Age Group,60-69 Years,4255,229,48
11/22/2023,Arlington,Case Age Group,70-79  Years,2511,285,85
11/22/2023,Arlington,Case Age Group,80+ Years,1564,365,191
11/22/2023,Arlington,Case Age Group,Missing,10,0,0
11/22/2023,Fairfax,Case Age Group,0-9  Years,28275,113,1
11/22/2023,Fairfax,Case Age Group,10-19 Years,32998,75,1
11/22/2023,Fairfax,Case Age Group,20-29  Years,44653,215,8
11/22/2023,Fairfax,Case Age Group,30-39 Years,46019,399,23
11/22/2023,Fairfax,Case Age Group,40-49 Years,42546,614,48
11/22/2023,Fairfax,Case Age Group,50-59 Years,37265,874,138
11/22/2023,Fairfax,Case Age Group,60-69 Years,25545,1008,232
11/22/2023,Fairfax,Case Age Group,70-79  Years,13499,930,378
11/22/2023,Fairfax,Case Age Group,80+ Years,9624,1302,971
11/22/2023,Fairfax,Case Age Group,Missing,26,0,0
11/22/2023,Loudoun,Case Age Group,0-9  Years,11710,66,0
11/22/2023,Loudoun,Case Age Group,10-19 Years,14616,25,2
11/22/2023,Loudoun,Case Age Group,20-29  Years,13876,70,3
11/22/2023,Loudoun,Case Age Group,30-39 Years,16261,155,3
11/22/2023,Loudoun,Case Age Group,40-49 Years,17678,256,13
11/22/2023,Loudoun,Case Age Group,50-59 Years,14940,335,30
11/22/2023,Loudoun,Case Age Group,60-69 Years,7666,325,46
11/22/2023,Loudoun,Case Age Group,70-79  Years,3784,397,100
11/22/2023,Loudoun,Case Age Group,80+ Years,2460,499,255
11/22/2023,Loudoun,Case Age Group,Missing,62,0,0
11/22/2023,Prince William,Case Age Group,0-9  Years,15545,220,0
11/22/2023,Prince William,Case Age Group,10-19 Years,18560,185,0
11/22/2023,Prince William,Case Age Group,20-29  Years,25350,365,10
11/22/2023,Prince William,Case Age Group,30-39 Years,25586,513,26
11/22/2023,Prince William,Case Age Group,40-49 Years,24289,618,46
11/22/2023,Prince William,Case Age Group,50-59 Years,21178,749,107
11/22/2023,Prince William,Case Age Group,60-69 Years,12072,597,196
11/22/2023,Prince William,Case Age Group,70-79  Years,5666,488,231
11/22/2023,Prince William,Case Age Group,80+ Years,2974,364,336
11/22/2023,Prince William,Case Age Group,Missing,186,0,0
11/21/2023,Alexandria,Case Age Group,0-9 Years,5273,17,0
11/21/2023,Alexandria,Case Age Group,10-19 Years,3699,18,0
11/21/2023,Alexandria,Case Age Group,20-29 Years,8444,42,2
11/21/2023,Alexandria,Case Age Group,30-39 Years,11015,102,3
11/21/2023,Alexandria,Case Age Group,40-49 Years,7247,122,13
11/21/2023,Alexandria,Case Age Group,50-59 Years,5280,148,24
11/21/2023,Alexandria,Case Age Group,60-69 Years,3281,157,38
11/21/2023,Alexandria,Case Age Group,70-79 Years,1760,129,59
11/21/2023,Alexandria,Case Age Group,80+ Years,1104,112,95
11/21/2023,Alexandria,Case Age Group,Missing,6,0,0
11/21/2023,Arlington,Case Age Group,0-9 Years,6780,29,1
11/21/2023,Arlington,Case Age Group,10-19 Years,6415,17,0
11/21/2023,Arlington,Case Age Group,20-29 Years,16788,51,0
11/21/2023,Arlington,Case Age Group,30-39 Years,13666,100,2
11/21/2023,Arlington,Case Age Group,40-49 Years,9858,133,18
11/21/2023,Arlington,Case Age Group,50-59 Years,7062,192,26
11/21/2023,Arlington,Case Age Group,60-69 Years,4252,229,48
11/21/2023,Arlington,Case Age Group,70-79 Years,2511,285,85
11/21/2023,Arlington,Case Age Group,80+ Years,1562,365,191
11/21/2023,Arlington,Case Age Group,Missing,10,0,0
11/21/2023,Fairfax,Case Age Group,0-9 Years,28268,113,1
11/21/2023,Fairfax,Case Age Group,10-19 Years,33000,75,1
11/21/2023,Fairfax,Case Age Group,20-29 Years,44645,215,8
11/21/2023,Fairfax,Case Age Group,30-39 Years,46020,399,23
11/21/2023,Fairfax,Case Age Group,40-49 Years,42538,614,48
11/21/2023,Fairfax,Case Age Group,50-59 Years,37257,874,137
11/21/2023,Fairfax,Case Age Group,60-69 Years,25542,1008,232
11/21/2023,Fairfax,Case Age Group,70-79 Years,13489,930,378
11/21/2023,Fairfax,Case Age Group,80+ Years,9611,1301,971
11/21/2023,Fairfax,Case Age Group,Missing,26,0,0
11/21/2023,Loudoun,Case Age Group,0-9 Years,11703,66,0
11/21/2023,Loudoun,Case Age Group,10-19 Years,14610,25,2
11/21/2023,Loudoun,Case Age Group,20-29 Years,13873,70,3
11/21/2023,Loudoun,Case Age Group,30-39 Years,16261,155,3
11/21/2023,Loudoun,Case Age Group,40-49 Years,17670,256,13
11/21/2023,Loudoun,Case Age Group,50-59 Years,14937,335,30
11/21/2023,Loudoun,Case Age Group,60-69 Years,7662,325,46
11/21/2023,Loudoun,Case Age Group,70-79 Years,3786,398,100
11/21/2023,Loudoun,Case Age Group,80+ Years,2461,499,255
11/21/2023,Loudoun,Case Age Group,Missing,62,0,0
11/21/2023,Prince William,Case Age Group,0-9 Years,15541,220,0
11/21/2023,Prince William,Case Age Group,10-19 Years,18556,185,0
11/21/2023,Prince William,Case Age Group,20-29 Years,25345,365,10
11/21/2023,Prince William,Case Age Group,30-39 Years,25579,513,26
11/21/2023,Prince William,Case Age Group,40-49 Years,24287,618,46
11/21/2023,Prince William,Case Age Group,50-59 Years,21171,749,107
11/21/2023,Prince William,Case Age Group,60-69 Years,12066,597,196
11/21/2023,Prince William,Case Age Group,70-79 Years,5665,488,231
11/21/2023,Prince William,Case Age Group,80+ Years,2972,364,336
11/21/2023,Prince William,Case Age Group,Missing,186,0,0
11/20/2023,Alexandria,Case Age Group,0-9 Years,5271,17,0
11/20/2023,Alexandria,Case Age Group,10-19 Years,3699,18,0
11/20/2023,Alexandria,Case Age Group,20-29 Years,8442,42,2
11/20/2023,Alexandria,Case Age Group,30-39 Years,11016,102,3
11/20/2023,Alexandria,Case Age Group,40-49 Years,7247,122,13
11/20/2023,Alexandria,Case Age Group,50-59 Years,5280,148,24
11/20/2023,Alexandria,Case Age Group,60-69 Years,3281,157,38
11/20/2023,Alexandria,Case Age Group,70-79 Years,1760,129,59
11/20/2023,Alexandria,Case Age Group,80+ Years,1104,112,95
11/20/2023,Alexandria,Case Age Group,Missing,6,0,0
11/20/2023,Arlington,Case Age Group,0-9 Years,6779,29,1
11/20/2023,Arlington,Case Age Group,10-19 Years,6415,17,0
11/20/2023,Arlington,Case Age Group,20-29 Years,16783,51,0
11/20/2023,Arlington,Case Age Group,30-39 Years,13667,100,2
11/20/2023,Arlington,Case Age Group,40-49 Years,9858,133,18
11/20/2023,Arlington,Case Age Group,50-59 Years,7060,192,26
11/20/2023,Arlington,Case Age Group,60-69 Years,4251,229,48
11/20/2023,Arlington,Case Age Group,70-79 Years,2510,285,85
11/20/2023,Arlington,Case Age Group,80+ Years,1562,365,191
11/20/2023,Arlington,Case Age Group,Missing,10,0,0
11/20/2023,Fairfax,Case Age Group,0-9 Years,28258,113,1
11/20/2023,Fairfax,Case Age Group,10-19 Years,32998,75,1
11/20/2023,Fairfax,Case Age Group,20-29 Years,44642,215,8
11/20/2023,Fairfax,Case Age Group,30-39 Years,46010,398,23
11/20/2023,Fairfax,Case Age Group,40-49 Years,42530,614,48
11/20/2023,Fairfax,Case Age Group,50-59 Years,37247,874,137
11/20/2023,Fairfax,Case Age Group,60-69 Years,25531,1007,232
11/20/2023,Fairfax,Case Age Group,70-79 Years,13490,929,378
11/20/2023,Fairfax,Case Age Group,80+ Years,9604,1301,971
11/20/2023,Fairfax,Case Age Group,Missing,26,0,0
11/20/2023,Loudoun,Case Age Group,0-9 Years,11698,66,0
11/20/2023,Loudoun,Case Age Group,10-19 Years,14603,25,2
11/20/2023,Loudoun,Case Age Group,20-29 Years,13873,70,3
11/20/2023,Loudoun,Case Age Group,30-39 Years,16255,155,3
11/20/2023,Loudoun,Case Age Group,40-49 Years,17667,256,13
11/20/2023,Loudoun,Case Age Group,50-59 Years,14940,335,30
11/20/2023,Loudoun,Case Age Group,60-69 Years,7660,325,46
11/20/2023,Loudoun,Case Age Group,70-79 Years,3782,398,100
